Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
ITDC,EQ,2017-05-15,611.35,616.8,663.2,602.4,648.1,650.15,645.77,217237,1.402860901E8,8827,37494,17.26,2017,5,0.0,Slight
ITDC,EQ,2017-05-16,650.15,654.0,655.95,633.05,639.0,636.7,642.75,55988,3.59861664E7,2853,17726,31.66,2017,5,-2.068753364608157,Negative
ITDC,EQ,2017-05-17,636.7,638.1,642.9,624.0,624.0,626.75,633.59,23787,1.507112275E7,980,9924,41.72,2017,5,-1.5627454059996928,Negative
ITDC,EQ,2017-05-18,626.75,621.8,624.0,601.5,604.0,604.65,614.44,37216,2.28669333E7,1498,16716,44.92,2017,5,-3.526126844834467,Among top losers
ITDC,EQ,2017-05-19,604.65,610.05,618.0,590.9,591.0,594.3,605.41,43801,2.651749735E7,2121,17563,40.1,2017,5,-1.7117340610270442,Negative
ITDC,EQ,2017-05-22,594.3,588.1,603.0,559.85,576.9,574.65,580.43,44113,2.56046565E7,1934,18646,42.27,2017,5,-3.306410903584045,Among top losers
ITDC,EQ,2017-05-23,574.65,581.35,581.35,541.0,553.35,553.8,555.66,41536,2.30799508E7,2105,13365,32.18,2017,5,-3.628295484207783,Among top losers
ITDC,EQ,2017-05-24,553.8,560.95,561.0,504.05,511.05,516.15,530.21,58400,3.096422375E7,2741,24353,41.7,2017,5,-6.798483206933907,Among top losers
ITDC,EQ,2017-05-25,516.15,504.0,527.3,497.0,507.1,508.15,510.71,61922,3.16243935E7,2349,25573,41.3,2017,5,-1.5499370338080016,Negative
ITDC,EQ,2017-05-26,508.15,508.0,517.0,498.0,512.0,511.05,510.33,30179,1.540116E7,1226,11628,38.53,2017,5,0.5706976286529636,Slight positive
ITDC,EQ,2017-05-29,511.05,515.7,539.5,508.0,510.1,511.85,523.35,33406,1.748304485E7,1502,11289,33.79,2017,5,0.1565404559240801,Slight
ITDC,EQ,2017-05-30,511.85,512.05,512.05,501.0,501.05,504.7,505.66,21330,1.078569055E7,1020,9766,45.79,2017,5,-1.396893621178086,Negative
