Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
RELIANCE,EQ,2017-05-15,1350.45,1356.4,1356.4,1333.5,1343.6,1344.1,1344.22,1540213,2.0703788032E9,75812,802733,52.12,2017,5,0.0,Slight
RELIANCE,EQ,2017-05-16,1344.1,1346.05,1376.9,1341.0,1356.2,1356.3,1360.59,2892947,3.9361214636E9,79767,1238129,42.8,2017,5,0.00907670560226177,Slight
RELIANCE,EQ,2017-05-17,1356.3,1353.0,1365.95,1347.75,1350.0,1353.1,1354.16,2250304,3.0472632942E9,56277,1225837,54.47,2017,5,-0.002359360023593634,Slight
RELIANCE,EQ,2017-05-18,1353.1,1340.25,1350.0,1324.1,1327.45,1327.35,1336.14,2237916,2.9901777472E9,84723,1339478,59.85,2017,5,-0.019030374695144483,Slight
RELIANCE,EQ,2017-05-19,1327.35,1333.0,1335.7,1310.0,1318.2,1318.85,1321.99,2928883,3.87193970145E9,115988,1444387,49.32,2017,5,-0.006403736768749765,Slight
RELIANCE,EQ,2017-05-22,1318.85,1326.5,1333.6,1315.2,1326.0,1324.15,1322.82,2011859,2.66131829265E9,89828,1123947,55.87,2017,5,0.004018652614019928,Slight
RELIANCE,EQ,2017-05-23,1324.15,1325.7,1329.85,1302.0,1304.55,1305.55,1313.55,2108223,2.7692469868E9,81667,1172410,55.61,2017,5,-0.014046746969754284,Slight
RELIANCE,EQ,2017-05-24,1305.55,1307.5,1313.7,1295.1,1299.0,1297.7,1302.71,3274804,4.2661221618E9,78535,1782580,54.43,2017,5,-0.006012791543793734,Slight
RELIANCE,EQ,2017-05-25,1297.7,1300.0,1312.4,1296.45,1301.5,1302.45,1303.19,5925335,7.72184299045E9,114553,4678965,78.97,2017,5,0.003660322108345534,Slight
RELIANCE,EQ,2017-05-26,1302.45,1303.95,1344.4,1300.0,1339.0,1337.3,1320.18,4898639,6.46710296855E9,111248,2843822,58.05,2017,5,0.026757265154132525,Slight
RELIANCE,EQ,2017-05-29,1337.3,1337.0,1365.45,1335.6,1355.25,1356.9,1352.77,5491170,7.4282682967E9,88604,2590759,47.18,2017,5,0.014656397218275732,Slight
RELIANCE,EQ,2017-05-30,1356.9,1355.9,1364.7,1348.5,1360.0,1359.35,1357.25,2207727,2.99643167215E9,71958,1133031,51.32,2017,5,0.0018055862628047889,Slight
RELIANCE,EQ,2017-05-31,1359.35,1367.0,1367.95,1335.8,1340.0,1340.7,1346.68,3754099,5.0555523918E9,153444,2447584,65.2,2017,5,-0.013719792547908827,Slight
RELIANCE,EQ,2017-06-01,1340.7,1332.7,1340.0,1323.0,1329.85,1328.25,1329.31,2179328,2.896998252E9,79314,1229535,56.42,2017,6,-0.00928619377936902,Slight
RELIANCE,EQ,2017-06-02,1328.25,1335.0,1338.7,1317.0,1322.9,1324.75,1326.29,2627565,3.48490865755E9,92530,1625375,61.86,2017,6,-0.002635046113306983,Slight
RELIANCE,EQ,2017-06-05,1324.75,1326.25,1341.0,1315.85,1330.0,1329.35,1328.64,2476706,3.29066270145E9,77234,1452622,58.65,2017,6,0.003472353274202611,Slight
RELIANCE,EQ,2017-06-06,1329.35,1333.95,1333.95,1311.0,1312.5,1312.8,1320.16,2192356,2.8942700548E9,61140,1301049,59.34,2017,6,-0.012449693459209354,Slight
RELIANCE,EQ,2017-06-07,1312.8,1311.2,1342.0,1309.0,1339.0,1339.0,1328.04,2559954,3.39971861E9,102403,1465014,57.23,2017,6,0.019957343083485714,Slight
RELIANCE,EQ,2017-06-08,1339.0,1340.0,1344.8,1328.05,1333.9,1331.7,1332.33,1806521,2.40688191495E9,61841,1063436,58.87,2017,6,-0.00545182972367435,Slight
RELIANCE,EQ,2017-06-09,1331.7,1345.1,1352.95,1331.0,1332.95,1335.7,1340.93,3162802,4.2410887191E9,78984,1333930,42.18,2017,6,0.0030036795073965605,Slight
RELIANCE,EQ,2017-06-12,1335.7,1326.55,1329.75,1317.0,1319.0,1319.45,1321.07,1927513,2.54637248695E9,44210,1194367,61.96,2017,6,-0.012165905517706072,Slight
RELIANCE,EQ,2017-06-13,1319.45,1320.6,1327.0,1311.0,1312.0,1314.35,1318.87,1377291,1.8164673407E9,63864,679324,49.32,2017,6,-0.0038652468831711214,Slight
RELIANCE,EQ,2017-06-14,1314.35,1315.9,1360.0,1315.9,1360.0,1357.5,1348.06,12101027,1.631296349505E10,139964,7232727,59.77,2017,6,0.03282991592802533,Slight
RELIANCE,EQ,2017-06-15,1357.5,1360.0,1395.0,1359.1,1377.35,1383.95,1379.51,6466804,8.92102774465E9,122808,2913028,45.05,2017,6,0.019484346224677748,Slight
RELIANCE,EQ,2017-06-16,1383.95,1389.1,1395.8,1369.3,1387.1,1388.8,1384.77,7477157,1.03541667996E10,126947,3372282,45.1,2017,6,0.0035044618663968414,Slight
RELIANCE,EQ,2017-06-19,1388.8,1390.2,1415.8,1390.2,1407.0,1409.25,1409.38,3482912,4.90875546005E9,97727,1288969,37.01,2017,6,0.014724942396313397,Slight
RELIANCE,EQ,2017-06-20,1409.25,1409.0,1422.1,1407.45,1411.05,1412.35,1414.55,2318399,3.279484043E9,54658,1142097,49.26,2017,6,0.0021997516409437,Slight
RELIANCE,EQ,2017-06-21,1412.35,1407.8,1428.0,1404.25,1427.75,1422.0,1418.57,4569943,6.4827646284E9,72533,2979165,65.19,2017,6,0.006832583991220371,Slight
RELIANCE,EQ,2017-06-22,1422.0,1429.45,1445.4,1427.7,1434.8,1432.65,1438.13,5055942,7.2711029053E9,67464,2293076,45.35,2017,6,0.0074894514767933126,Slight
RELIANCE,EQ,2017-06-23,1432.65,1436.0,1442.0,1430.6,1432.1,1435.85,1437.72,7118832,1.02348628666E10,84739,4671640,65.62,2017,6,0.002233623006316838,Slight
