Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
ADANIPORTS,EQ,2017-05-15,357.95,359.0,359.75,350.85,356.0,356.2,354.78,1530781,5.430938961E8,14738,554124,36.2,2017,5,0.0,Slight
ADANIPORTS,EQ,2017-05-16,356.2,354.2,358.15,351.15,353.55,354.5,354.64,1321254,4.685718416E8,24113,465010,35.19,2017,5,-0.47725996631105805,Slight
ADANIPORTS,EQ,2017-05-17,354.5,354.5,354.8,347.55,348.95,348.55,349.74,1239867,4.336324523E8,19750,571621,46.1,2017,5,-1.6784203102961885,Negative
ADANIPORTS,EQ,2017-05-18,348.55,344.3,359.55,342.2,348.15,347.9,350.16,3618961,1.2671984395E9,76390,963959,26.64,2017,5,-0.18648687419309543,Slight
ADANIPORTS,EQ,2017-05-19,347.9,349.05,352.5,345.3,350.45,349.45,348.91,1302961,4.546103419E8,20989,492222,37.78,2017,5,0.44553032480598204,Slight
ADANIPORTS,EQ,2017-05-22,349.45,352.4,357.4,350.45,354.0,354.45,354.6,2939697,1.04241973385E9,36043,1207131,41.06,2017,5,1.4308198597796538,Positive
ADANIPORTS,EQ,2017-05-23,354.45,354.8,355.6,328.5,330.65,331.65,340.41,6270500,2.13454292405E9,70709,2738738,43.68,2017,5,-6.43250105797715,Among top losers
ADANIPORTS,EQ,2017-05-24,331.65,333.4,342.95,328.1,341.8,339.65,337.39,8363216,2.8216512492E9,78246,1533176,18.33,2017,5,2.4121815166591287,Positive
ADANIPORTS,EQ,2017-05-25,339.65,344.9,346.25,331.3,341.55,340.75,339.21,5992900,2.0328619633E9,57622,1993080,33.26,2017,5,0.32386279994112255,Slight
ADANIPORTS,EQ,2017-05-26,340.75,342.4,351.0,339.0,348.0,348.0,347.55,2754435,9.5731156685E8,28126,1036015,37.61,2017,5,2.127659574468085,Positive
ADANIPORTS,EQ,2017-05-29,348.0,347.8,348.35,325.1,327.8,327.8,331.08,3943111,1.30547951925E9,44755,1440160,36.52,2017,5,-5.804597701149422,Among top losers
ADANIPORTS,EQ,2017-05-30,327.8,328.4,342.9,327.45,341.0,340.35,337.25,3680879,1.2413802438E9,51558,1506427,40.93,2017,5,3.8285539963392345,Among top gainers
ADANIPORTS,EQ,2017-05-31,340.35,341.5,345.75,336.55,341.75,339.0,339.69,12190256,4.14091982035E9,94792,9389385,77.02,2017,5,-0.39665050683120984,Slight
ADANIPORTS,EQ,2017-06-01,339.0,337.6,351.95,337.6,350.5,349.2,345.71,3447544,1.19183564315E9,38653,1449223,42.04,2017,6,3.0088495575221206,Among top gainers
ADANIPORTS,EQ,2017-06-02,349.2,352.0,359.4,350.5,357.0,357.9,356.79,3297747,1.17659980085E9,39939,809810,24.56,2017,6,2.4914089347079007,Positive
ADANIPORTS,EQ,2017-06-05,357.9,359.95,364.5,355.2,361.5,361.05,361.2,2830068,1.022229864E9,31813,891587,31.5,2017,6,0.8801341156747791,Slight positive
ADANIPORTS,EQ,2017-06-06,361.05,362.95,368.75,357.05,360.55,361.45,361.51,5229905,1.89066638565E9,39979,2688647,51.41,2017,6,0.1107879795042175,Slight
ADANIPORTS,EQ,2017-06-07,361.45,363.6,363.95,357.3,359.5,359.1,360.29,5435369,1.95831872855E9,39716,2979849,54.82,2017,6,-0.6501590814773733,Slight negative
ADANIPORTS,EQ,2017-06-08,359.1,359.25,361.85,350.5,360.15,359.15,356.46,4568139,1.62837637565E9,37373,2595605,56.82,2017,6,0.013923698134211786,Slight
ADANIPORTS,EQ,2017-06-09,359.15,360.0,360.6,350.25,359.6,359.85,356.71,7152603,2.5514260792E9,62422,4653276,65.06,2017,6,0.19490463594599625,Slight
ADANIPORTS,EQ,2017-06-12,359.85,359.7,359.7,353.55,358.5,356.85,355.91,4963488,1.76657010625E9,33056,3176070,63.99,2017,6,-0.8336807002917882,Slight negative
ADANIPORTS,EQ,2017-06-13,356.85,359.0,363.15,355.4,360.05,359.4,358.99,5463098,1.96119895475E9,43624,3250231,59.49,2017,6,0.714585960487587,Slight positive
ADANIPORTS,EQ,2017-06-14,359.4,360.5,360.9,356.1,359.95,359.5,358.73,6005138,2.15424046795E9,52462,4303037,71.66,2017,6,0.027824151363389744,Slight
ADANIPORTS,EQ,2017-06-15,359.5,359.45,366.4,357.75,360.0,360.0,361.79,3997432,1.44623431025E9,38912,1764531,44.14,2017,6,0.13908205841446453,Slight
ADANIPORTS,EQ,2017-06-16,360.0,361.5,365.1,356.25,364.9,363.15,360.57,5332597,1.9227498217E9,38347,3577084,67.08,2017,6,0.8749999999999937,Slight positive
ADANIPORTS,EQ,2017-06-19,363.15,365.0,375.6,365.0,373.65,373.8,371.87,7328947,2.7254217401E9,105974,3109194,42.42,2017,6,2.9326724494010836,Positive
ADANIPORTS,EQ,2017-06-20,373.8,375.6,377.7,370.1,374.05,375.65,374.86,4597214,1.7233310972E9,55660,2585956,56.25,2017,6,0.4949170679507667,Slight
ADANIPORTS,EQ,2017-06-21,375.65,374.75,377.2,367.2,369.95,369.95,371.88,2797034,1.0401508346E9,40320,1262268,45.13,2017,6,-1.5173698921868732,Negative
ADANIPORTS,EQ,2017-06-22,369.95,370.0,373.8,367.5,369.3,369.45,370.87,1935079,7.176553503E8,30166,969841,50.12,2017,6,-0.13515339910798757,Slight
ADANIPORTS,EQ,2017-06-23,369.45,369.45,370.5,361.65,368.0,365.45,364.46,3011500,1.0975710399E9,53047,1628889,54.09,2017,6,-1.0826904858573556,Negative
ADANIPORTS,EQ,2017-06-27,365.45,367.9,372.8,365.45,366.8,367.7,368.94,2780694,1.0259143381E9,38952,1032749,37.14,2017,6,0.6156792994937749,Slight positive
ADANIPORTS,EQ,2017-06-28,367.7,368.4,369.65,363.05,364.35,364.5,365.95,2394375,8.762179345E8,53764,1316251,54.97,2017,6,-0.8702746804460127,Slight negative
ADANIPORTS,EQ,2017-06-29,364.5,366.95,368.7,362.35,364.6,364.5,364.46,3343365,1.2185227882E9,37441,2153283,64.4,2017,6,0.0,Slight
ADANIPORTS,EQ,2017-06-30,364.5,364.0,365.8,360.55,364.9,363.05,363.05,1386974,5.0354349685E8,19945,358630,25.86,2017,6,-0.39780521262002433,Slight
ADANIPORTS,EQ,2017-07-03,363.05,364.9,370.6,359.5,368.45,368.0,364.73,2171316,7.919482045E8,43766,648895,29.88,2017,7,1.3634485608042937,Positive
ADANIPORTS,EQ,2017-07-04,368.0,368.5,375.7,368.0,371.25,371.7,372.88,4186188,1.5609381083E9,60857,1853835,44.28,2017,7,1.0054347826086925,Positive
ADANIPORTS,EQ,2017-07-05,371.7,374.5,374.5,371.85,372.65,372.9,372.95,1422559,5.305373625E8,17676,703753,49.47,2017,7,0.32284100080709943,Slight
ADANIPORTS,EQ,2017-07-06,372.9,373.9,375.65,371.5,372.05,373.05,373.85,2318749,8.668679415E8,30128,1529765,65.97,2017,7,0.04022526146420866,Slight
ADANIPORTS,EQ,2017-07-07,373.05,372.1,374.95,370.0,370.8,371.6,373.12,3077926,1.1484316266E9,45205,1954640,63.51,2017,7,-0.38868784345261725,Slight
ADANIPORTS,EQ,2017-07-10,371.6,382.7,382.7,372.0,374.0,374.95,374.78,860478,3.224931432E8,8328,582955,67.75,2017,7,0.901506996770712,Slight positive
ADANIPORTS,EQ,2017-07-11,374.95,376.0,376.85,371.7,371.7,372.7,373.02,2646484,9.8719787835E8,33939,1855639,70.12,2017,7,-0.6000800106680891,Slight negative
ADANIPORTS,EQ,2017-07-12,372.7,372.25,375.3,371.65,374.0,373.85,373.6,2035281,7.603910199E8,25749,1195467,58.74,2017,7,0.3085591628655847,Slight
ADANIPORTS,EQ,2017-07-13,373.85,375.8,377.9,372.25,375.35,375.95,374.92,2956936,1.10860122435E9,46202,1874690,63.4,2017,7,0.5617226160224598,Slight positive
ADANIPORTS,EQ,2017-07-14,375.95,375.95,378.45,374.45,374.85,375.6,376.09,1737806,6.5357165445E8,33739,826683,47.57,2017,7,-0.093097486367859,Slight
ADANIPORTS,EQ,2017-07-17,375.6,373.85,383.7,373.85,380.9,381.25,381.41,4784990,1.82504705575E9,32787,2973363,62.14,2017,7,1.504259850905212,Positive
ADANIPORTS,EQ,2017-07-18,381.25,379.5,384.1,378.45,381.7,381.9,382.22,3927479,1.5011527603E9,52094,2837912,72.26,2017,7,0.17049180327868257,Slight
ADANIPORTS,EQ,2017-07-19,381.9,380.5,383.8,377.3,380.7,381.05,380.92,4847964,1.8466648556E9,49440,3705113,76.43,2017,7,-0.22257135375751924,Slight
ADANIPORTS,EQ,2017-07-20,381.05,382.0,382.5,377.05,380.0,380.0,380.25,4490409,1.7074854646E9,33913,3619145,80.6,2017,7,-0.2755543891877736,Slight
ADANIPORTS,EQ,2017-07-21,380.0,381.0,382.7,378.6,382.5,381.9,380.42,6613707,2.51600153465E9,38176,5341660,80.77,2017,7,0.499999999999994,Slight
ADANIPORTS,EQ,2017-07-24,381.9,383.5,390.35,381.1,387.85,388.45,385.46,4777031,1.8413393739E9,46802,2818734,59.01,2017,7,1.715108667190367,Positive
ADANIPORTS,EQ,2017-07-25,388.45,390.1,393.4,385.15,390.1,390.75,389.29,3297724,1.283781285E9,43474,2123384,64.39,2017,7,0.5920967949543086,Slight positive
ADANIPORTS,EQ,2017-07-26,390.75,392.7,394.35,388.0,391.65,393.05,391.65,3243876,1.27046598205E9,54869,2280093,70.29,2017,7,0.5886116442738353,Slight positive
ADANIPORTS,EQ,2017-07-27,393.05,394.25,394.85,390.75,392.1,392.5,392.89,2847871,1.11890850565E9,47239,1847120,64.86,2017,7,-0.139931306449564,Slight
ADANIPORTS,EQ,2017-07-28,392.5,391.5,398.45,390.0,394.95,395.75,395.37,3203051,1.2664005088E9,43131,1861850,58.13,2017,7,0.8280254777070064,Slight positive
ADANIPORTS,EQ,2017-07-31,395.75,396.0,398.0,393.4,396.85,395.9,395.56,1581010,6.253779254E8,34896,932949,59.01,2017,7,0.03790271636133349,Slight
ADANIPORTS,EQ,2017-08-01,395.9,397.45,405.3,396.45,404.0,404.0,402.75,3391013,1.3657203888E9,36531,2099777,61.92,2017,8,2.045971204849715,Positive
ADANIPORTS,EQ,2017-08-02,404.0,405.0,413.5,402.65,411.5,411.25,406.85,2997197,1.2194183096E9,43536,1794494,59.87,2017,8,1.7945544554455446,Positive
ADANIPORTS,EQ,2017-08-03,411.25,411.9,411.9,402.65,407.75,407.35,406.95,2541125,1.03410571345E9,20256,1557268,61.28,2017,8,-0.9483282674771981,Slight negative
ADANIPORTS,EQ,2017-08-04,407.35,406.0,410.4,403.1,407.3,406.65,405.67,2770532,1.1239089202E9,32493,1518312,54.8,2017,8,-0.17184239597398931,Slight
ADANIPORTS,EQ,2017-08-07,406.65,411.8,421.5,408.5,413.3,414.25,414.15,3863466,1.60007050425E9,35744,2426840,62.82,2017,8,1.8689290544694512,Positive
ADANIPORTS,EQ,2017-08-08,414.25,414.95,418.8,410.15,415.5,414.8,414.93,2154068,8.93780262E8,25630,925537,42.97,2017,8,0.13277006638503594,Slight
